1	1	38
2	1	157
3	10	173
4	15	202
5	5	205
6	3	218
7	1	231
8	13	231
9	15	279
10	4	329
11	13	337
12	6	365
13	1	376
14	2	383
15	1	390
16	6	398
17	4	479
18	1	481
19	1	557
20	18	692
21	1	749
22	17	758
23	1	762
24	8	807.01
25	7	808
26	18	863
27	24	866
28	16	912
29	2	924.01
30	34	968
31	2	969
32	29	977
33	11	994
34	1	1267
35	2	1391
36	24	1478
37	1	1502
38	5	1536
39	14	1543
40	7	1564
41	16	1570
42	11	1572
43	5	1576
44	8	1626
45	14	1634
46	2	1655
47	17	1663
48	2	1668
49	4	1710
50	15	1724
51	10	1756
52	9	1786
53	22	1797
54	8	1824
55	7	1826
56	15	1832
57	25	1843
58	19	1869
59	5	1884
60	8	1904
61	3	1913
62	14	1972
63	13	14
64	11	47
65	2	53
66	18	238
67	33	243
68	4	267
69	26	269
70	2	278
71	4	280
72	1	282
73	15	291
74	18	310
75	4	317
76	1	320
77	19	325
78	9	327
79	27	338
80	5	347
81	17	383
82	18	420
83	28	441
84	14	468
85	18	498
86	13	500
87	5	511
88	2	515
89	17	516
90	7	521
91	16	540
92	31	563
93	14	582
94	9	590
95	2	591
96	14	592
97	6	595
98	16	596
99	28	603
100	24	605
101	40	613
102	7	622
103	13	646
104	8	659
105	23	681
106	27	690
107	11	709
108	25	729
109	27	744
110	4	772
111	18	774
112	30	778.01
113	35	783
114	22	788
115	41	796
116	22	809
117	14	821
118	19	825
119	18	826
120	8	830
121	9	833
122	35	835
123	15	843
124	16	850
125	25	875
126	7	884
127	9	886
128	4	893
129	5	899
130	5	904
131	2	920
132	12	960
133	3	972
134	3	973
135	6	982
136	7	1009
137	10	1014
138	9	1031
139	8	1037
140	1	1113
141	20	1185
142	22	1188
143	23	1195
144	7	1200
145	17	1217
146	9	1226
147	2	1254
148	12	1257
149	6	1261
150	15	1268
151	7	1276
152	3	1284
153	21	1290
154	14	1304
155	13	1309
156	22	1319
157	14	1333
158	7	1344
159	22	1351
160	15	1353
161	16	1355
162	6	1364
163	13	1367
164	27	1369
165	12	1372
166	16	1379
167	18	1382
168	24	1389
169	7	1390
170	18	1392
171	6	1398
172	20	1401
173	19	1403
174	26	1405
175	6	1411
176	11	1417
177	18	1419
178	11	1425
179	12	1439
180	32	1444
181	13	1453
182	21	1463
183	11	1466
184	18	1473
185	13	1482
186	17	1492
187	13	40.01
188	19	661
189	21	758
190	7	1021
191	38	1143
192	15	1300.01
193	13	1336
194	10	1493
195	1	1737
196	14	1796
197	15	1985
198	16	2081
199	14	2088
200	41	2115
201	10	2261
202	6	2285
203	48	2314
204	23	3051
205	32	3080
206	31	3339
207	34	3425
208	19	3620
209	56	4054
210	11	4095
211	66	4105
212	54	4200
213	30	4289
214	16	4294
215	11	4301
216	15	4463
217	6	4469
218	58	4475
219	1	31
220	13	33.01
221	2	52
222	14	62
223	2	65
224	5	79
225	2	88
226	4	99
227	4	108
228	2	115
229	3	116
230	2	117
231	2	203
232	6	297
233	9	309
234	18	312
235	1	317
236	3	333
237	2	384
238	4	401
239	16	417
240	1	433
241	5	434
242	10	435
243	26	450
244	2	475
245	18	478
246	23	483
247	1	486
248	20	509
249	5	602
250	12	630
251	2	671
252	14	686
253	9	703
254	6	706
255	17	732
256	19	745
257	3	769
258	16	771
259	38	792
260	11	800
261	1	837
262	25	851
263	3	853
264	27	867
265	22	869
266	11	876
267	17	890
268	16	892
269	34	908
270	31	910
271	39	922
272	27	931
273	30	935
274	1	938
275	4	954
276	14	956
277	28	958
278	32	971
279	11	1046
280	20	1156
281	9	1263
282	1	1278
283	3	1560
284	20	1609
285	5	1610
286	7	1615
287	5	1648
288	27	1681
289	7	1692
290	16	1702
291	17	1708
292	12	1740
293	31	1766
294	26	1782
295	19	1819
296	8	1860
297	7	1867
298	37	1907
299	10	1919
300	12	1941
301	3	1945
302	11	1970
303	34	1991
304	41	2003
305	32	2007
306	7	2008
307	29	2027
308	4	2045
309	8	2046
310	22	2050
311	33	2057
312	5	2072
313	25	2073
314	35	2080
315	35	2083
316	24	2087
317	3	2092
318	46	2096
319	18	2115
320	19	2118
321	31	2121
322	35	2123
323	29	2126
324	5	2131
325	39	2137
326	9	2149
327	10	2159
328	19	2179
329	16	2185
330	4	2214
331	32	2228
332	14	2232
333	42	2248
334	6	2270
335	1	2283
336	1	1
337	1	1
338	1	1
339	1	1
340	1	2
341	1	2
342	1	2
343	1	3
344	1	4
345	1	4
346	1	5
347	1	5
348	1	6
349	1	6
350	1	6
351	1	7
352	1	7
353	1	7
354	1	8
355	1	8
356	1	9
357	1	9
358	1	9
359	1	9
360	1	10
361	1	10
362	1	11
363	1	11
364	1	11
365	1	12
366	1	12
367	1	13
368	1	13
369	1	13
370	1	13
371	1	14
372	1	14
373	1	14
374	1	15
375	1	15
376	1	15
377	1	15
378	1	16
379	1	16
380	1	17
381	1	17
382	1	18
383	1	18
384	1	19
385	1	19
386	1	19
387	1	20
388	1	20
389	1	20
390	1	21
391	1	21
392	1	22
393	1	22
394	1	22
395	1	23
396	1	24
397	1	24
398	1	25
399	1	25
400	1	26
401	1	27
402	1	27
403	1	28
404	1	28
405	1	29
406	1	29
407	1	30
408	1	30
409	1	32
410	1	32
411	1	33
412	1	33
413	1	34
414	1	35
415	1	36
416	1	36
417	1	37
418	1	38
419	1	39
420	1	39
421	1	40
422	1	41
423	1	41
424	1	42
425	1	43
426	1	43
427	1	44
428	1	44
429	1	45
430	1	45
431	1	46
432	1	47
433	1	48
434	1	51
435	1	52
436	1	53
437	1	54
438	1	55
439	1	56
440	1	57
441	1	58
442	1	59
443	1	60
444	1	61
445	1	62
446	1	516
447	1	16841
448	1	51
449	4	124
450	1	137
451	4	192
452	10	472
453	20	536
454	4	733
455	1	763
456	2	1063
457	22	1074
458	40	1142.01
459	11	1426
460	52	1427
461	7	1449
462	48	1484
463	13	1612
464	3	1847
465	24	1969
466	41	2066
467	23	2070
468	19	2103
469	19	2111
470	1	2171
471	35	2182
472	31	2189
473	22	2193
474	31	2193
475	1	3
476	2	6
477	7	8
478	1	8
479	1	14
480	1	16
481	1	17
482	1	27
483	2	28
484	2	30
485	2	31
486	1	43
487	3	55
488	2	57
489	2	60
490	1	61
491	2	68
492	2	74
493	2	84
494	3	86
495	3	87
496	1	94
497	3	96
498	2	100
499	2	108
500	2	118
501	2	119
502	3	122
503	1	123
504	3	125
505	6	127.01
506	5	130
507	1	132
508	1	133
509	2	133
510	4	135
511	2	137
512	1	139
513	1	143
514	1	146
515	6	154
516	4	155
517	8	155.01
518	3	170
519	2	174
520	3	184
521	2	193
522	1	198
523	1	205
524	2	208
525	3	215
526	1	229
527	2	235
528	4	236
529	1	239
530	5	243
531	3	244
532	2	254
533	3	257
534	1	266
535	3	7
536	3	103
537	3	126
538	7	146
539	3	158
540	4	164
541	7	168
542	17	187
543	10	189
544	3	193
545	7	345
