1	5	11
2	16	297
3	38	347
4	6	357
5	4	425
6	10	492
7	45	493.01
8	9	494
9	22	579
10	28	651
11	1	728
12	7	752
13	22	756
14	20	771
15	1	869
16	7	1077
17	2	1101
18	23	1127
19	3	1156
20	38	1160
21	23	1170
22	21	1206
23	1	1235
24	1	1244
25	34	1283
26	8	1287
27	11	1296
28	8	1322
29	32	1368
30	3	1506
31	3	1896
32	29	1977
33	2	2141
34	12	2167
35	21	2222
36	2	2263
37	5	2347
38	20	2354
39	22	2358
40	2	2378
41	7	2382
42	4	2431
43	17	2515
44	27	2592
45	2	2602
46	2	2616
47	20	2701
48	8	2748
49	20	2756
50	4	2762
51	9	2767
52	19	2782
53	44	2955
54	30	2959
55	42	3004
56	14	3044
57	17	3087
58	13	3229
59	2	22455
60	11	806
61	135	893
62	83	929
63	42	1238
64	4	1543
65	23	1641
66	50	1852
67	128	1882
68	11	2128
69	8	2146
70	12	2166
71	68	2258
72	9	2315
73	2	2446
74	29	2518
75	14	2522
76	26	2600
77	10	2658
78	23	2938
79	29	4541
80	1	5026
81	17	5217
82	20	5399
83	5	5539
84	79	5547
85	19	5594
86	1	5651
87	100	5785
88	95	5905
89	33	5928
90	12	5952
91	34	5970
92	53	5980
93	62	5990
94	1	55
95	1	638
96	3	874
97	28	902
98	233	1041
99	10	1918
100	16	1938
101	127	1944
102	97	1972
103	17	2776
104	18	2842
105	10	3012
106	23	3084
107	4	3149
108	10	3203
109	100	3226
110	25	3319
111	30	3338
112	1	3438
113	82	5513
114	55	5796
115	77	6078
116	3	6145
117	57	6226
118	17	6696
119	2	6874
120	36	6968
121	153	7152
122	1	7192
123	121	7249
124	47	7484
125	63	7497
126	3	7595
127	145	7617
128	48	7746
129	15	42
130	17	82
131	33	363
132	11	374
133	27	379
134	31	385
135	30	386
136	35	474
137	7	577
138	7	635
139	22	678
140	6	683
141	16	704
142	3	738
143	35	754
144	1	774
145	35	797
146	5	851
147	23	855
148	6	923
149	72	952
150	29	967
151	2	967
152	38	968
153	3	991
154	6	991
155	9	999
156	11	1003
157	30	1012
158	14	1032
159	12	1033
160	15	1041
161	23	1076
162	26	1104
163	7	1207
164	23	1216
165	13	1226
166	12	1237
167	12	1242
168	2	1280
169	22	1281
170	25	1292
171	10	1321
172	47	1444
173	35	1480
174	55	1486
175	35	1489
176	23	1792
177	6	1865
178	23	2069
179	17	2119
180	10	2128
181	20	2154
182	2	2168
183	25	2205
184	24	2223
185	9	2234
186	6	2244
187	35	2290
188	40	2291
189	3	2340
190	24	2355
191	15	2362
192	25	2364
193	35	2371
194	28	2466
195	18	2505
196	35	2511
197	19	2526
198	3	2557
199	36	2604
200	2	2607
201	33	2619
202	35	2620
203	8	2648
204	28	2653
205	22	2673
206	23	2710
207	14	2714
208	27	2723
209	24	2736
210	38	2740
211	61	2884
212	9	2923
213	32	2981
214	15	2985
215	36	2994
216	6	3149
217	15	3196
218	48	3267
219	25	3282
220	12	37
221	1	85
222	6	97
223	1	132
224	20	195
225	17	196
226	3	200
227	9	214
228	15	246
229	1	253
230	30	276
231	12	330
232	7	542
233	22	543
234	4	556
235	3	564
236	3	569
237	13	590
238	2	615
239	14	668
240	10	670
241	3	672
242	20	723
243	4	791
244	13	792
245	42	822
246	1	831
247	21	836
248	19	865
249	17	916
250	6	929
251	3	966
252	18	973
